parse-tosa	7731649
parse-matoi	8817057
parse-peter	4224405
html-tosa	7860516
html-matoi	8873225
parse-dense	14815275
parse-large	134025536
full-edit-source	268793267
full-multiple-edit-source	264978894
edit-single	62962126
edit-multiple	122361605
snapshot-clone	9013
